id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
361	Lost in Space	1998	PG-13	03 Apr 1998	130 min	Action, Adventure, Family	Stephen Hopkins	Irwin Allen (television series), Akiva Goldsman	William Hurt, Mimi Rogers, Heather Graham, Lacey Chabert	In the year 2058, the Earth will soon be uninhabitable after the irreversible effects of pollution and global warming! Professor John Robinson, lead scientist of the Jupiter 2 Mission, will lead his family to the habitable planet Alpha Prime to prep it for colonization. The Jupiter 2 is equipped with a hyperdrive that allows faster-than-light travel, which will eventually be employed to evacuate the citizens of Earth. However hypergates must be constructed on Earth and Alpha Prime to provide stable points of departure and arrival. Dr. Zachary Smith is bribed by a terrorist organization to sabotage the mission, and ends up an unwilling stowaway as the ship blasts off.	English	USA	1 win & 13 nominations.	http://ia.media-imdb.com/images/M/MV5BMTkwNzEyNTgyN15BMl5BanBnXkFtZTcwODk4NTU0Mg@@._V1_SX300.jpg	42	5	54716	tt0120738	27	rotten	4.7	84	23	61	Clumsily directed and missing most of the TV series' campy charm, Lost in Space sadly lives down to its title.	24	2.5	173480	06 Oct 1998	N/A	New Line Home Entertainment	N/A
362	Lost in Translation	2003	R	03 Oct 2003	101 min	Drama	Sofia Coppola	Sofia Coppola	Scarlett Johansson, Bill Murray, Akiko Takeshita, Kazuyoshi Minamimagoe	Bob Harris is an American film actor, far past his prime. He visits Tokyo to appear in commercials, and he meets Charlotte, the young wife of a visiting photographer. Bored and weary, Bob and Charlotte make ideal if improbable traveling companions. Charlotte is looking for 'her place in life,' and Bob is tolerating a mediocre stateside marriage. Both separately and together, they live the experience of the American in Tokyo. Bob and Charlotte suffer both confusion and hilarity due to the cultural and language differences between themselves and the Japanese. As the relationship between Bob and Charlotte deepens, they come to the realization that their visits to Japan, and one another, must soon end. Or must they?	English, Japanese, German, French	USA, Japan	Won 1 Oscar. Another 107 wins & 77 nominations.	http://ia.media-imdb.com/images/M/MV5BMTI2NDI5ODk4N15BMl5BanBnXkFtZTYwMTI3NTE3._V1_SX300.jpg	89	7.8	288076	tt0335266	95	certified	8.4	222	211	11	Effectively balancing humor and subtle pathos, Sofia Coppola crafts a moving, melancholy story that serves as a showcase for both Bill Murray and Scarlett Johansson.	86	3.6	333570	03 Feb 2004	$44.6M	Focus Features	http://www.focusfeatures.com/index.php
363	Love & Basketball	2000	PG-13	21 Apr 2000	124 min	Drama, Romance, Sport	Gina Prince-Bythewood	Gina Prince-Bythewood	Glenndon Chatman, Jess Willard, Chris Warren Jr., Kyla Pratt	In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with Monica's edge and Quincy's top-dog attitude separating them, except when Quincy's parents argue and he climbs through Monica's window to sleep on the floor. As high school ends, they come together as a couple, but within a year, with both of them playing ball at USC, Quincy's relationship with his father takes an ugly turn, and it leads to a break up with Monica. Some years later, their pro careers at a crossroads, they meet again. It's time for a final game of one-on-one with high stakes.	English, Spanish	USA	12 wins & 15 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU4NjY4NTI5MF5BMl5BanBnXkFtZTYwNjQ4OTc3._V1_SX300.jpg	70	7.2	12274	tt0199725	82	certified	6.6	87	71	16	Confident directing and acting deliver an insightful look at young athletes.	95	3.9	185810	10 Oct 2000	N/A	New Line Cinema	http://www.loveandbasketball.com
364	Machine Gun Preacher	2011	R	02 Nov 2011	129 min	Action, Biography, Crime	Marc Forster	Jason Keller	Gerard Butler, Michelle Monaghan, Kathy Baker, Michael Shannon	In Pittsburgh, Pennsylvania, addicted gang biker Sam Childers is released from prison and learns that his wife Lynn is no longer a stripper but has converted to Christianity. One night, Sam and his best friend Donnie give a ride to a hitchhiker who threatens Donnie with a pocketknife; however Sam reacts and turns the tables on the stranger. Sam is affected by the incident and is convinced by Lynn and his mother Daisy to join their church, and he is baptized. Sam finds a straight job in construction. When he meets a preacher from Africa, he decides to visit the continent. Sam travels to Northern Uganda and South Sudan many times and builds an orphanage for the victims of the cruel Lord's Resistance Army (LRA). Further, he fights whenever necessary and becomes a legend known as The Machine Gun Preacher.	English, Arabic, Acholi	USA	N/A	http://ia.media-imdb.com/images/M/MV5BNDI0NDMzMDU3N15BMl5BanBnXkFtZTcwMTIzNjQzNg@@._V1_SX300.jpg	43	6.8	47779	tt1586752	29	rotten	4.9	111	32	79	There's a complex man at the center of Machine Gun Preacher but the movie is too shapeless and emotionally vacant to bring his story to life.	62	3.5	17976	05 Jun 2012	$0.5M	Relativity Media	http://www.machinegunpreacher.com
365	Magnolia	1999	R	07 Jan 2000	188 min	Drama	Paul Thomas Anderson	Paul Thomas Anderson	Pat Healy, Genevieve Zweig, Mark Flannagan, Neil Flynn	24 hours in L.A.; it's raining cats and dogs. Two parallel and intercut stories dramatize men about to die: both are estranged from a grown child, both want to make contact, and neither child wants anything to do with dad. Earl Partridge's son is a charismatic misogynist; Jimmy Gator's daughter is a cokehead and waif. A mild and caring nurse intercedes for Earl, reaching the son; a prayerful and upright beat cop meets the daughter, is attracted to her, and leads her toward a new calm. Meanwhile, guilt consumes Earl's young wife, while two whiz kids, one grown and a loser and the other young and pressured, face their situations. The weather, too, is quirky.	English, German, French	USA	Nominated for 3 Oscars. Another 27 wins & 42 nominations.	http://ia.media-imdb.com/images/M/MV5BNzMzMDgyNTIzOF5BMl5BanBnXkFtZTcwOTk0MDg2OQ@@._V1_SX300.jpg	77	8	222126	tt0175880	84	certified	7.5	141	118	23	Critics say Magnolia is an ambitious, lengthy work that ultimately succeeds due to the interesting stories and excellent ensemble performances.	90	3.7	190689	25 Jul 2000	N/A	New Line Cinema	http://www.magnoliamovie.com
366	The Majestic	2001	PG	21 Dec 2001	152 min	Drama	Frank Darabont	Michael Sloane	Jim Carrey, Bob Balaban, Jeffrey DeMunn, Hal Holbrook	Peter Appleton is an ambitious young screenwriter working for HHS Studios during Hollywood's Golden Age, 1951 in particular. 'Ashes to Ashes' is about to be released, and he's dating the attractive movie star, Sandra Sinclair. Just when everything seems to be going his way, it is discovered he (unwittingly) attended a Communist meeting during college when pulled there by his girlfriend at the time, and thus heavy suspicion settles over him and he'll have to stand before Congress. Afraid of what might happen if they don't, HHS cancels Appleton's contract and aborts the release date of the film. Appleton promptly begins to wallow in self-pity and spends nearly an entire night at a bar, then drives intoxicated through the streets of the California course until plummeting into a stormy river and getting knocked unconscious. Washing up on the beaches of a small town called Lawson. Although the people there are pleasant and likable, the town is depressed and lifeless due to having lost 62 of its sons in World War II. One of them, Luke Trimble, was missing in action; and miraculously, Peter bears a striking resemblance to the black and white photos, close enough to fool even Luke's father, Harry. However, thanks to the blow to the head and the alcohol, Peter has suffered amnesia and decides he must be who they think he is. Besides, it's not a bad life: Luke's beautiful lover, lawyer Adele Stanton, is all over him, the town has suddenly come back to life with excitement, and he and his 'father' rebuild a movie palace Harry used to run, the Majestic. Unfortunately, Peter's memory returns in time for G-men to track him down.	English	USA, Australia	2 wins & 1 nomination.	http://ia.media-imdb.com/images/M/MV5BOTI2NjkzMTkxM15BMl5BanBnXkFtZTYwMzM2MjA5._V1_SX300.jpg	27	6.9	41697	tt0268995	42	rotten	4.9	140	59	81	Ponderous and overlong, The Majestic drowns in forced sentimentality and resembles a mish-mash of other, better films.	60	3.1	57752	18 Jun 2002	$27.7M	Universal Pictures	http://movies.warnerbros.com/themajestic
367	Major League	1989	R	07 Apr 1989	107 min	Comedy, Sport	David S. Ward	David S. Ward	Tom Berenger, Charlie Sheen, Corbin Bernsen, Margaret Whitton	An exotic dancer marries the owner of a baseball club. He does not survive the honeymoon and she is in control of his ball club. she wants to move to warmer climes where some new stadiums have been built, but her lease has only one escape clause, poor attendance. She fields the worst team she can find. The attitude of the owner gives the misfits and losers something to rally around and they fight back.	English, Spanish, Japanese	USA	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTcyMDE5NzIxMV5BMl5BanBnXkFtZTcwNDUwNzE0MQ@@._V1_SX300.jpg	N/A	7.2	44459	tt0097815	82	fresh	6.5	38	31	7	Major League may be predictable and formulaic, but buoyed by the script's light, silly humor -- not to mention the well-built sports action sequences and funny performances.	84	3.4	90346	24 Sep 2002	N/A	Paramount Home Video	N/A
368	Malibu's Most Wanted	2003	PG-13	18 Apr 2003	86 min	Comedy, Crime	John Whitesell	Fax Bahr, Adam Small, Jamie Kennedy, Nick Swardson	Jamie Kennedy, Taye Diggs, Anthony Anderson, Regina Hall	Brad Gluckman (Kennedy) is a wannabe rap star from Malibu who acts and talks like he's from the ''hood.' Concerned that his son is going to embarrass him during his campaign to become the governor of California, Brad's wealthy father and his campaign manager (Underwood), hire two trained actors (Diggs and Anderson) to disguise themselves as 'real life gangstaz', and kidnap his son, dropping him off in the 'real hood' in Compton, in an effort to scare the ghettofied attitude and behavior out of him.	English	USA	3 nominations.	http://ia.media-imdb.com/images/M/MV5BODM3NzE0NTMxOF5BMl5BanBnXkFtZTYwMTIzNTk5._V1_SX300.jpg	43	5.1	14914	tt0328099	31	rotten	4.6	93	29	64	There are some laughs, but not enough to sustain the running time.	54	2.6	51514	09 Sep 2003	$34.3M	Warner Bros.	http://malibusmostwanted.warnerbros.com
369	Man on Fire	2004	R	23 Apr 2004	146 min	Action, Drama, Thriller	Tony Scott	A.J. Quinnell (novel), Brian Helgeland (screenplay)	Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken	A wave of kidnappings has swept through Mexico, feeding a growing sense of panic among its wealthier citizens, especially parents. In one six-day period, there were twenty-four abductions, leading many to hire bodyguards for their children. Into this world enters John Creasy, a burned-out ex-CIA operative/assassin, who has given up on life. Creasy's friend Rayburn brings him to Mexico City to be a bodyguard to nine-year-old Pita Ramos, daughter of industrialist Samuel Ramos and his wife Lisa. Creasy is not interested in being a bodyguard, especially to a youngster, but for lack of something better to do, he accepts the assignment. Creasy barely tolerates the precocious child and her pestering questions about him and his life. But slowly, she chips away at his seemingly impenetrable exterior, his defenses drop, and he opens up to her. Creasy's new-found purpose in life is shattered when Pita is kidnapped. Despite being seriously wounded during the kidnapping, he vows to kill anyone involved in or profiting from the kidnapping. And no one can stop him.	English, Spanish	USA, UK	1 win & 6 nominations.	http://ia.media-imdb.com/images/M/MV5BMTc3MDc1MTAwMV5BMl5BanBnXkFtZTcwMDY0MTIzMw@@._V1_SX300.jpg	47	7.8	236709	tt0328107	39	rotten	5.2	161	62	99	Man on Fire starts out well, but goes over the top in the violent second half.	90	3.8	422028	14 Sep 2004	$77.7M	20th Century Fox	http://www.manonfiremovie.com/
370	Man Trouble	1992	PG-13	17 Jul 1992	100 min	Comedy, Romance	Bob Rafelson	Carole Eastman	Jack Nicholson, Ellen Barkin, Harry Dean Stanton, Beverly D'Angelo	Eugene Earl Axline is a guard dog trainer who gets involved with one of his clients, Joan Spruance. Spruance's sister is a classic airhead, who is spilling all she knows about her gangster boyfriend.	English	USA, Italy	1 nomination.	http://ia.media-imdb.com/images/M/MV5BMTc2MjAxODkxNV5BMl5BanBnXkFtZTcwMjg3MTcyMQ@@._V1_SX300.jpg	N/A	4.6	2294	tt0104804	7	rotten	3.4	30	2	28	Man Trouble has brilliant stars and the germ of an interesting idea in its favor, which makes the scattered, unfunny results even more of a disappointment.	14	2.5	2437	14 Dec 2004	N/A	Twentieth Century Fox Home Entertainment	N/A
371	The Man Who Knew Too Much	1956	PG	01 Jun 1956	120 min	Thriller	Alfred Hitchcock	John Michael Hayes (screenplay), Charles Bennett (based on a story by), D.B. Wyndham-Lewis (based on a story by)	James Stewart, Doris Day, Brenda de Banzie, Bernard Miles	While attending a medical conference in Paris, American physician Dr. Ben McKenna, his wife, retired musical theater actress and singer Jo McKenna ne Conway, and their adolescent son Hank McKenna decide to take a side trip to among other places Marrekesh, French Morocco. With a knife plunged into his back, Frenchman Louis Bernard, who the family met earlier in their bus ride into Marrakesh and who is now masquerading as an Arab, approaches Ben, cryptically whispering into Ben's ears that there will be an attempted assassination in London of a statesman, this news whispered just before Bernard dies. Ben is reluctant to provide any information of this news to the authorities because concurrently Hank is kidnapped by British couple, Edward and Lucy Drayton, who also befriended the McKennas in Marrakesh and who probably have taken Hank out of the country back to England. Whoever the unknown people the Draytons are working for have threatened to kill Hank if Ben divulges any information told to him by Bernard. With what little information they have on hand, Ben and Jo head to London to try and thwart the assassination attempt and more importantly find an alive and safe Hank. Scotland Yard is aware of some pieces to the puzzle, including the fact that Bernard was a French secret service agent and that there will be an assassination attempt on someone. They and the McKennas will have to work together as they hit a diplomatic roadblock, one that may be overcome with a special Jo Conway song.	English, French, Arabic	USA	Won 1 Oscar. Another 1 win & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMjI1NDIzNjc3N15BMl5BanBnXkFtZTcwMjE5ODEwNA@@._V1_SX300.jpg	N/A	7.5	36732	tt0049470	91	fresh	7.6	32	29	3	Remaking his own 1934 film, Hitchcock imbues The Man Who Knew Too Much with picturesque locales and international intrigue, and is helped by a brilliantly befuddled performance from James Stewart.	84	3.7	33422	06 Mar 2001	N/A	MCA Universal Home Video	N/A
372	The Man Who Wasn't There	2001	R	26 Oct 2001	116 min	Crime, Drama	Joel Coen, Ethan Coen	Joel Coen, Ethan Coen	Billy Bob Thornton, Frances McDormand, Michael Badalucco, James Gandolfini	1949, Santa Rosa, California. A laconic, chain-smoking barber with fallen arches tells a story of a man trying to escape a humdrum life. It's a tale of suspected adultery, blackmail, foul play, death, Sacramento city slickers, racial slurs, invented war heroics, shaved legs, a gamine piano player, aliens, and Heisenberg's uncertainty principle. Ed Crane cuts hair in his in-law's shop; his wife drinks and may be having an affair with her boss, Big Dave, who has $10,000 to invest in a second department store. Ed gets wind of a chance to make money in dry cleaning. Blackmail and investment are his opportunity to be more than a man no one notices. Settle in the chair and listen.	English, Italian, French	USA, UK	Nominated for 1 Oscar. Another 28 wins & 36 nominations.	http://ia.media-imdb.com/images/M/MV5BMTIxNDA0NTExNF5BMl5BanBnXkFtZTYwMTI2MDI5._V1_SX300.jpg	73	7.6	78112	tt0243133	81	certified	7.1	155	125	30	Stylish but emotionally distant, The Man Who Wasn't There is a clever tribute to the film noir genre.	85	3.7	40321	16 Apr 2002	$7.4M	USA Films	http://www.themanwhowasntthere.com
